App,Tela (screen_id),Tipo de Falha,Critério WCAG,Nível,Contagem
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Contrast Failure,1.4.3 Contrast (Minimum),AA,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Contrast Failure,1.4.3 Contrast (Minimum),AA,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Contrast Failure,1.4.3 Contrast (Minimum),AA,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Content Description,1.1.1 Non-text Content,A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Missing Accessible Name,"4.1.2 Name, Role, Value",A,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Resize Text - insufficient increase,1.4.4 Resize Text,AA,1
2048 Original_3.5_APKPure,992da727f56e2ed19518eb5d9a6a60e6,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,1
