Aplicativo,Tipo de Falha,Critério WCAG,Nível,Número de Ocorrências,Percentual (%)
2048 Original_3.5_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,15.0
2048 Original_3.5_APKPure,Missing Content Description,1.1.1 Non-text Content,A,1,5.0
2048 Original_3.5_APKPure,Missing Accessible Name,"4.1.2 Name, Role, Value",A,6,30.0
2048 Original_3.5_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,2,10.0
2048 Original_3.5_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,4,20.0
2048 Original_3.5_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,4,20.0
addy.io,Resize Text - insufficient increase,1.4.4 Resize Text,AA,13,36.11
addy.io,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,13,36.11
addy.io,Overlapping Elements,1.4.12 Text Spacing,AA,3,8.33
addy.io,Contrast Failure,1.4.3 Contrast (Minimum),AA,7,19.44
Algebraix_3.3.1_APKPure,Contrast Failure,1.4.3 Contrast (Minimum),AA,5,5.38
Algebraix_3.3.1_APKPure,Error Message Detected,3.3.1 Error Identification,A,6,6.45
Algebraix_3.3.1_APKPure,Missing Label or Instruction,3.3.2 Labels or Instructions,A,3,3.23
Algebraix_3.3.1_APKPure,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,8,8.6
Algebraix_3.3.1_APKPure,Resize Text - insufficient increase,1.4.4 Resize Text,AA,35,37.63
Algebraix_3.3.1_APKPure,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,35,37.63
Algebraix_3.3.1_APKPure,Gesture-Only Navigation,2.5.1 Pointer Gestures,A,1,1.08
Aneko,Contrast Failure,1.4.3 Contrast (Minimum),AA,3,3.57
Aneko,Missing Accessible Name,"4.1.2 Name, Role, Value",A,16,19.05
Aneko,Resize Text - insufficient increase,1.4.4 Resize Text,AA,31,36.9
Aneko,Resize Text - insufficient reduction,Optional Check - Text Reduction,Advisory,31,36.9
Aneko,Non-essential Content Description Should Be Empty,1.1.1 Non-text Content,A,1,1.19
Aneko,Target Size Failure,2.5.5 Target Size (Enhanced),AAA,1,1.19
